location_name,location_type,code,parent_code,island_group
Region I (Ilocos Region),Region,01,,Luzon
Region II (Cagayan Valley),Region,02,,Luzon
Region III (Central Luzon),Region,03,,Luzon
Region IV-A (CALABARZON),Region,04,,Luzon
MIMAROPA Region,Region,17,,Luzon
Region V (Bicol Region),Region,05,,Luzon
Region VI (Western Visayas),Region,06,,Visayas
Region VII (Central Visayas),Region,07,,Visayas
Region VIII (Eastern Visayas),Region,08,,Visayas
Region IX (Zamboanga Peninsula),Region,09,,Mindanao
Region X (Northern Mindanao),Region,10,,Mindanao
Region XI (Davao Region),Region,11,,Mindanao
Region XII (SOCCSKSARGEN),Region,12,,Mindanao
National Capital Region (NCR),Region,13,,Luzon
Cordillera Administrative Region (CAR),Region,14,,Luzon
Region XIII (Caraga),Region,16,,Mindanao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Region,19,,Mindanao
Ilocos Norte,Province,028,01,Luzon
Ilocos Sur,Province,029,01,Luzon
La Union,Province,033,01,Luzon
Pangasinan,Province,055,01,Luzon
Batanes,Province,009,02,Luzon
Cagayan,Province,015,02,Luzon
Isabela,Province,031,02,Luzon
Nueva Vizcaya,Province,050,02,Luzon
Quirino,Province,057,02,Luzon
Bataan,Province,008,03,Luzon
Bulacan,Province,014,03,Luzon
Nueva Ecija,Province,049,03,Luzon
Pampanga,Province,054,03,Luzon
Tarlac,Province,069,03,Luzon
Zambales,Province,071,03,Luzon
Aurora,Province,077,03,Luzon
Batangas,Province,010,04,Luzon
Cavite,Province,021,04,Luzon
Laguna,Province,034,04,Luzon
Quezon,Province,056,04,Luzon
Rizal,Province,058,04,Luzon
Marinduque,Province,040,17,Luzon
Occidental Mindoro,Province,051,17,Luzon
Oriental Mindoro,Province,052,17,Luzon
Palawan,Province,053,17,Luzon
Romblon,Province,059,17,Luzon
Albay,Province,005,05,Luzon
Camarines Norte,Province,016,05,Luzon
Camarines Sur,Province,017,05,Luzon
Catanduanes,Province,020,05,Luzon
Masbate,Province,041,05,Luzon
Sorsogon,Province,062,05,Luzon
Aklan,Province,004,06,Visayas
Antique,Province,006,06,Visayas
Capiz,Province,019,06,Visayas
Iloilo,Province,030,06,Visayas
Negros Occidental,Province,045,06,Visayas
Guimaras,Province,079,06,Visayas
Bohol,Province,012,07,Visayas
Cebu,Province,022,07,Visayas
Negros Oriental,Province,046,07,Visayas
Siquijor,Province,061,07,Visayas
Eastern Samar,Province,026,08,Visayas
Leyte,Province,037,08,Visayas
Northern Samar,Province,048,08,Visayas
Samar,Province,060,08,Visayas
Southern Leyte,Province,064,08,Visayas
Biliran,Province,078,08,Visayas
Zamboanga del Norte,Province,072,09,Mindanao
Zamboanga del Sur,Province,073,09,Mindanao
Zamboanga Sibugay,Province,083,09,Mindanao
Bukidnon,Province,013,10,Mindanao
Camiguin,Province,018,10,Mindanao
Lanao del Norte,Province,035,10,Mindanao
Misamis Occidental,Province,042,10,Mindanao
Misamis Oriental,Province,043,10,Mindanao
Davao del Norte,Province,023,11,Mindanao
Davao del Sur,Province,024,11,Mindanao
Davao Oriental,Province,025,11,Mindanao
Davao de Oro,Province,082,11,Mindanao
Davao Occidental,Province,086,11,Mindanao
Cotabato,Province,047,12,Mindanao
South Cotabato,Province,063,12,Mindanao
Sultan Kudarat,Province,065,12,Mindanao
Sarangani,Province,080,12,Mindanao
Abra,Province,001,14,Luzon
Benguet,Province,011,14,Luzon
Ifugao,Province,027,14,Luzon
Kalinga,Province,032,14,Luzon
Mountain Province,Province,044,14,Luzon
Apayao,Province,081,14,Luzon
Agusan del Norte,Province,002,16,Mindanao
Agusan del Sur,Province,003,16,Mindanao
Surigao del Norte,Province,067,16,Mindanao
Surigao del Sur,Province,068,16,Mindanao
Dinagat Islands,Province,085,16,Mindanao
Basilan,Province,007,19,Mindanao
Lanao del Sur,Province,036,19,Mindanao
Sulu,Province,066,19,Mindanao
Tawi-Tawi,Province,070,19,Mindanao
Maguindanao del Norte,Province,087,19,Mindanao
Maguindanao del Sur,Province,088,19,Mindanao
City of Batac,City,005,028,Luzon
City of Laoag ,City,012,028,Luzon
City of Candon,City,006,029,Luzon
City of Vigan ,City,034,029,Luzon
City of San Fernando ,City,014,033,Luzon
City of Alaminos,City,003,055,Luzon
City of Dagupan,City,018,055,Luzon
City of San Carlos,City,032,055,Luzon
City of Urdaneta,City,046,055,Luzon
Tuguegarao City ,City,029,015,Luzon
City of Cauayan,City,008,031,Luzon
City of Ilagan ,City,014,031,Luzon
City of Santiago,City,035,031,Luzon
City of Balanga ,City,003,008,Luzon
City of Baliwag,City,003,014,Luzon
City of Malolos ,City,010,014,Luzon
City of Meycauayan,City,012,014,Luzon
City of San Jose Del Monte,City,020,014,Luzon
City of Cabanatuan,City,003,049,Luzon
City of Gapan,City,008,049,Luzon
Science City of Muñoz,City,017,049,Luzon
City of Palayan ,City,019,049,Luzon
San Jose City,City,026,049,Luzon
City of Angeles,City,000,301,Luzon
Mabalacat City,City,009,054,Luzon
City of San Fernando ,City,016,054,Luzon
City of Tarlac ,City,016,069,Luzon
City of Olongapo,City,000,314,Luzon
Batangas City ,City,005,010,Luzon
City of Calaca,City,007,010,Luzon
City of Lipa,City,014,010,Luzon
City of Sto. Tomas,City,028,010,Luzon
City of Tanauan,City,031,010,Luzon
City of Bacoor,City,003,021,Luzon
City of Cavite,City,005,021,Luzon
City of Dasmariñas,City,006,021,Luzon
City of General Trias,City,008,021,Luzon
City of Imus,City,009,021,Luzon
City of Tagaytay,City,019,021,Luzon
City of Trece Martires ,City,022,021,Luzon
City of Biñan,City,003,034,Luzon
City of Cabuyao,City,004,034,Luzon
City of Calamba,City,005,034,Luzon
City of San Pablo,City,024,034,Luzon
City of San Pedro,City,025,034,Luzon
City of Santa Rosa,City,028,034,Luzon
City of Lucena ,City,000,312,Luzon
City of Tayabas,City,047,056,Luzon
City of Antipolo ,City,002,058,Luzon
City of Calapan ,City,005,052,Luzon
City of Puerto Princesa ,City,000,315,Luzon
City of Legazpi ,City,006,005,Luzon
City of Ligao,City,008,005,Luzon
City of Tabaco,City,017,005,Luzon
City of Iriga,City,016,017,Luzon
City of Naga,City,024,017,Luzon
City of Masbate ,City,011,041,Luzon
City of Sorsogon ,City,016,062,Luzon
City of Roxas ,City,014,019,Visayas
City of Iloilo ,City,000,310,Visayas
City of Passi,City,035,030,Visayas
City of Bacolod ,City,000,302,Visayas
City of Bago,City,002,045,Visayas
City of Cadiz,City,004,045,Visayas
City of Escalante,City,009,045,Visayas
City of Himamaylan,City,010,045,Visayas
City of Kabankalan,City,015,045,Visayas
City of La Carlota,City,016,045,Visayas
City of Sagay,City,023,045,Visayas
City of San Carlos,City,024,045,Visayas
City of Silay,City,026,045,Visayas
City of Sipalay,City,027,045,Visayas
City of Talisay,City,028,045,Visayas
City of Victorias,City,031,045,Visayas
City of Tagbilaran ,City,042,012,Visayas
City of Bogo,City,011,022,Visayas
City of Carcar,City,014,022,Visayas
City of Cebu ,City,000,306,Visayas
Danao City,City,023,022,Visayas
City of Lapu-Lapu,City,000,311,Visayas
City of Mandaue,City,000,313,Visayas
City of Naga,City,034,022,Visayas
City of Talisay,City,050,022,Visayas
City of Toledo,City,051,022,Visayas
City of Bais,City,004,046,Visayas
City of Bayawan,City,006,046,Visayas
City of Canlaon,City,008,046,Visayas
City of Dumaguete ,City,010,046,Visayas
City of Guihulngan,City,011,046,Visayas
City of Tanjay,City,021,046,Visayas
City of Borongan ,City,004,026,Visayas
City of Baybay,City,008,037,Visayas
Ormoc City,City,038,037,Visayas
City of Tacloban ,City,000,316,Visayas
City of Calbayog,City,003,060,Visayas
City of Catbalogan ,City,005,060,Visayas
City of Maasin ,City,007,064,Visayas
City of Dapitan,City,001,072,Mindanao
City of Dipolog ,City,002,072,Mindanao
City of Pagadian ,City,022,073,Mindanao
City of Zamboanga,City,000,317,Mindanao
City of Isabela,City,001,901,Mindanao
City of Malaybalay ,City,012,013,Mindanao
City of Valencia,City,021,013,Mindanao
City of Iligan,City,000,309,Mindanao
City of Oroquieta ,City,009,042,Mindanao
City of Ozamiz,City,010,042,Mindanao
City of Tangub,City,015,042,Mindanao
City of Cagayan De Oro ,City,000,305,Mindanao
City of El Salvador,City,007,043,Mindanao
City of Gingoog,City,008,043,Mindanao
City of Panabo,City,015,023,Mindanao
Island Garden City of Samal,City,017,023,Mindanao
City of Tagum ,City,019,023,Mindanao
City of Davao,City,000,307,Mindanao
City of Digos ,City,003,024,Mindanao
City of Mati ,City,009,025,Mindanao
City of Kidapawan ,City,004,047,Mindanao
City of General Santos,City,000,308,Mindanao
City of Koronadal ,City,006,063,Mindanao
City of Tacurong,City,011,065,Mindanao
City of Manila,City,000,806,Luzon
City of Mandaluyong,City,000,805,Luzon
City of Marikina,City,000,807,Luzon
City of Pasig,City,000,812,Luzon
Quezon City,City,000,813,Luzon
City of San Juan,City,000,814,Luzon
City of Caloocan,City,000,801,Luzon
City of Malabon,City,000,804,Luzon
City of Navotas,City,000,809,Luzon
City of Valenzuela,City,000,816,Luzon
City of Las Piñas,City,000,802,Luzon
City of Makati,City,000,803,Luzon
City of Muntinlupa,City,000,808,Luzon
City of Parañaque,City,000,810,Luzon
Pasay City,City,000,811,Luzon
City of Taguig,City,000,815,Luzon
City of Baguio,City,000,303,Luzon
City of Tabuk ,City,013,032,Luzon
City of Butuan ,City,000,304,Mindanao
City of Cabadbaran,City,003,002,Mindanao
City of Bayugan,City,001,003,Mindanao
City of Surigao ,City,024,067,Mindanao
City of Bislig,City,003,068,Mindanao
City of Tandag ,City,019,068,Mindanao
City of Lamitan ,City,002,007,Mindanao
City of Marawi ,City,017,036,Mindanao
City of Cotabato,City,003,087,Mindanao
Adams,Municipality,001,028,Luzon
Bacarra,Municipality,002,028,Luzon
Badoc,Municipality,003,028,Luzon
Bangui,Municipality,004,028,Luzon
Burgos,Municipality,006,028,Luzon
Carasi,Municipality,007,028,Luzon
Currimao,Municipality,008,028,Luzon
Dingras,Municipality,009,028,Luzon
Dumalneg,Municipality,010,028,Luzon
Banna,Municipality,011,028,Luzon
Marcos,Municipality,013,028,Luzon
Nueva Era,Municipality,014,028,Luzon
Pagudpud,Municipality,015,028,Luzon
Paoay,Municipality,016,028,Luzon
Pasuquin,Municipality,017,028,Luzon
Piddig,Municipality,018,028,Luzon
Pinili,Municipality,019,028,Luzon
San Nicolas,Municipality,020,028,Luzon
Sarrat,Municipality,021,028,Luzon
Solsona,Municipality,022,028,Luzon
Vintar,Municipality,023,028,Luzon
Alilem,Municipality,001,029,Luzon
Banayoyo,Municipality,002,029,Luzon
Bantay,Municipality,003,029,Luzon
Burgos,Municipality,004,029,Luzon
Cabugao,Municipality,005,029,Luzon
Caoayan,Municipality,007,029,Luzon
Cervantes,Municipality,008,029,Luzon
Galimuyod,Municipality,009,029,Luzon
Gregorio del Pilar,Municipality,010,029,Luzon
Lidlidda,Municipality,011,029,Luzon
Magsingal,Municipality,012,029,Luzon
Nagbukel,Municipality,013,029,Luzon
Narvacan,Municipality,014,029,Luzon
Quirino,Municipality,015,029,Luzon
Salcedo,Municipality,016,029,Luzon
San Emilio,Municipality,017,029,Luzon
San Esteban,Municipality,018,029,Luzon
San Ildefonso,Municipality,019,029,Luzon
San Juan,Municipality,020,029,Luzon
San Vicente,Municipality,021,029,Luzon
Santa,Municipality,022,029,Luzon
Santa Catalina,Municipality,023,029,Luzon
Santa Cruz,Municipality,024,029,Luzon
Santa Lucia,Municipality,025,029,Luzon
Santa Maria,Municipality,026,029,Luzon
Santiago,Municipality,027,029,Luzon
Santo Domingo,Municipality,028,029,Luzon
Sigay,Municipality,029,029,Luzon
Sinait,Municipality,030,029,Luzon
Sugpon,Municipality,031,029,Luzon
Suyo,Municipality,032,029,Luzon
Tagudin,Municipality,033,029,Luzon
Agoo,Municipality,001,033,Luzon
Aringay,Municipality,002,033,Luzon
Bacnotan,Municipality,003,033,Luzon
Bagulin,Municipality,004,033,Luzon
Balaoan,Municipality,005,033,Luzon
Bangar,Municipality,006,033,Luzon
Bauang,Municipality,007,033,Luzon
Burgos,Municipality,008,033,Luzon
Caba,Municipality,009,033,Luzon
Luna,Municipality,010,033,Luzon
Naguilian,Municipality,011,033,Luzon
Pugo,Municipality,012,033,Luzon
Rosario,Municipality,013,033,Luzon
San Gabriel,Municipality,015,033,Luzon
San Juan,Municipality,016,033,Luzon
Santo Tomas,Municipality,017,033,Luzon
Santol,Municipality,018,033,Luzon
Sudipen,Municipality,019,033,Luzon
Tubao,Municipality,020,033,Luzon
Agno,Municipality,001,055,Luzon
Aguilar,Municipality,002,055,Luzon
Alcala,Municipality,004,055,Luzon
Anda,Municipality,005,055,Luzon
Asingan,Municipality,006,055,Luzon
Balungao,Municipality,007,055,Luzon
Bani,Municipality,008,055,Luzon
Basista,Municipality,009,055,Luzon
Bautista,Municipality,010,055,Luzon
Bayambang,Municipality,011,055,Luzon
Binalonan,Municipality,012,055,Luzon
Binmaley,Municipality,013,055,Luzon
Bolinao,Municipality,014,055,Luzon
Bugallon,Municipality,015,055,Luzon
Burgos,Municipality,016,055,Luzon
Calasiao,Municipality,017,055,Luzon
Dasol,Municipality,019,055,Luzon
Infanta,Municipality,020,055,Luzon
Labrador,Municipality,021,055,Luzon
Lingayen ,Municipality,022,055,Luzon
Mabini,Municipality,023,055,Luzon
Malasiqui,Municipality,024,055,Luzon
Manaoag,Municipality,025,055,Luzon
Mangaldan,Municipality,026,055,Luzon
Mangatarem,Municipality,027,055,Luzon
Mapandan,Municipality,028,055,Luzon
Natividad,Municipality,029,055,Luzon
Pozorrubio,Municipality,030,055,Luzon
Rosales,Municipality,031,055,Luzon
San Fabian,Municipality,033,055,Luzon
San Jacinto,Municipality,034,055,Luzon
San Manuel,Municipality,035,055,Luzon
San Nicolas,Municipality,036,055,Luzon
San Quintin,Municipality,037,055,Luzon
Santa Barbara,Municipality,038,055,Luzon
Santa Maria,Municipality,039,055,Luzon
Santo Tomas,Municipality,040,055,Luzon
Sison,Municipality,041,055,Luzon
Sual,Municipality,042,055,Luzon
Tayug,Municipality,043,055,Luzon
Umingan,Municipality,044,055,Luzon
Urbiztondo,Municipality,045,055,Luzon
Villasis,Municipality,047,055,Luzon
Laoac,Municipality,048,055,Luzon
Basco ,Municipality,001,009,Luzon
Itbayat,Municipality,002,009,Luzon
Ivana,Municipality,003,009,Luzon
Mahatao,Municipality,004,009,Luzon
Sabtang,Municipality,005,009,Luzon
Uyugan,Municipality,006,009,Luzon
Abulug,Municipality,001,015,Luzon
Alcala,Municipality,002,015,Luzon
Allacapan,Municipality,003,015,Luzon
Amulung,Municipality,004,015,Luzon
Aparri,Municipality,005,015,Luzon
Baggao,Municipality,006,015,Luzon
Ballesteros,Municipality,007,015,Luzon
Buguey,Municipality,008,015,Luzon
Calayan,Municipality,009,015,Luzon
Camalaniugan,Municipality,010,015,Luzon
Claveria,Municipality,011,015,Luzon
Enrile,Municipality,012,015,Luzon
Gattaran,Municipality,013,015,Luzon
Gonzaga,Municipality,014,015,Luzon
Iguig,Municipality,015,015,Luzon
Lal-Lo,Municipality,016,015,Luzon
Lasam,Municipality,017,015,Luzon
Pamplona,Municipality,018,015,Luzon
Peñablanca,Municipality,019,015,Luzon
Piat,Municipality,020,015,Luzon
Rizal,Municipality,021,015,Luzon
Sanchez-Mira,Municipality,022,015,Luzon
Santa Ana,Municipality,023,015,Luzon
Santa Praxedes,Municipality,024,015,Luzon
Santa Teresita,Municipality,025,015,Luzon
Santo Niño,Municipality,026,015,Luzon
Solana,Municipality,027,015,Luzon
Tuao,Municipality,028,015,Luzon
Alicia,Municipality,001,031,Luzon
Angadanan,Municipality,002,031,Luzon
Aurora,Municipality,003,031,Luzon
Benito Soliven,Municipality,004,031,Luzon
Burgos,Municipality,005,031,Luzon
Cabagan,Municipality,006,031,Luzon
Cabatuan,Municipality,007,031,Luzon
Cordon,Municipality,009,031,Luzon
Dinapigue,Municipality,010,031,Luzon
Divilacan,Municipality,011,031,Luzon
Echague,Municipality,012,031,Luzon
Gamu,Municipality,013,031,Luzon
Jones,Municipality,015,031,Luzon
Luna,Municipality,016,031,Luzon
Maconacon,Municipality,017,031,Luzon
Delfin Albano,Municipality,018,031,Luzon
Mallig,Municipality,019,031,Luzon
Naguilian,Municipality,020,031,Luzon
Palanan,Municipality,021,031,Luzon
Quezon,Municipality,022,031,Luzon
Quirino,Municipality,023,031,Luzon
Ramon,Municipality,024,031,Luzon
Reina Mercedes,Municipality,025,031,Luzon
Roxas,Municipality,026,031,Luzon
San Agustin,Municipality,027,031,Luzon
San Guillermo,Municipality,028,031,Luzon
San Isidro,Municipality,029,031,Luzon
San Manuel,Municipality,030,031,Luzon
San Mariano,Municipality,031,031,Luzon
San Mateo,Municipality,032,031,Luzon
San Pablo,Municipality,033,031,Luzon
Santa Maria,Municipality,034,031,Luzon
Santo Tomas,Municipality,036,031,Luzon
Tumauini,Municipality,037,031,Luzon
Ambaguio,Municipality,001,050,Luzon
Aritao,Municipality,002,050,Luzon
Bagabag,Municipality,003,050,Luzon
Bambang,Municipality,004,050,Luzon
Bayombong ,Municipality,005,050,Luzon
Diadi,Municipality,006,050,Luzon
Dupax del Norte,Municipality,007,050,Luzon
Dupax del Sur,Municipality,008,050,Luzon
Kasibu,Municipality,009,050,Luzon
Kayapa,Municipality,010,050,Luzon
Quezon,Municipality,011,050,Luzon
Santa Fe,Municipality,012,050,Luzon
Solano,Municipality,013,050,Luzon
Villaverde,Municipality,014,050,Luzon
Alfonso Castaneda,Municipality,015,050,Luzon
Aglipay,Municipality,001,057,Luzon
Cabarroguis ,Municipality,002,057,Luzon
Diffun,Municipality,003,057,Luzon
Maddela,Municipality,004,057,Luzon
Saguday,Municipality,005,057,Luzon
Nagtipunan,Municipality,006,057,Luzon
Abucay,Municipality,001,008,Luzon
Bagac,Municipality,002,008,Luzon
Dinalupihan,Municipality,004,008,Luzon
Hermosa,Municipality,005,008,Luzon
Limay,Municipality,006,008,Luzon
Mariveles,Municipality,007,008,Luzon
Morong,Municipality,008,008,Luzon
Orani,Municipality,009,008,Luzon
Orion,Municipality,010,008,Luzon
Pilar,Municipality,011,008,Luzon
Samal,Municipality,012,008,Luzon
Angat,Municipality,001,014,Luzon
Balagtas,Municipality,002,014,Luzon
Bocaue,Municipality,004,014,Luzon
Bulacan,Municipality,005,014,Luzon
Bustos,Municipality,006,014,Luzon
Calumpit,Municipality,007,014,Luzon
Guiguinto,Municipality,008,014,Luzon
Hagonoy,Municipality,009,014,Luzon
Marilao,Municipality,011,014,Luzon
Norzagaray,Municipality,013,014,Luzon
Obando,Municipality,014,014,Luzon
Pandi,Municipality,015,014,Luzon
Paombong,Municipality,016,014,Luzon
Plaridel,Municipality,017,014,Luzon
Pulilan,Municipality,018,014,Luzon
San Ildefonso,Municipality,019,014,Luzon
San Miguel,Municipality,021,014,Luzon
San Rafael,Municipality,022,014,Luzon
Santa Maria,Municipality,023,014,Luzon
Doña Remedios Trinidad,Municipality,024,014,Luzon
Aliaga,Municipality,001,049,Luzon
Bongabon,Municipality,002,049,Luzon
Cabiao,Municipality,004,049,Luzon
Carranglan,Municipality,005,049,Luzon
Cuyapo,Municipality,006,049,Luzon
Gabaldon,Municipality,007,049,Luzon
General Mamerto Natividad,Municipality,009,049,Luzon
General Tinio,Municipality,010,049,Luzon
Guimba,Municipality,011,049,Luzon
Jaen,Municipality,012,049,Luzon
Laur,Municipality,013,049,Luzon
Licab,Municipality,014,049,Luzon
Llanera,Municipality,015,049,Luzon
Lupao,Municipality,016,049,Luzon
Nampicuan,Municipality,018,049,Luzon
Pantabangan,Municipality,020,049,Luzon
Peñaranda,Municipality,021,049,Luzon
Quezon,Municipality,022,049,Luzon
Rizal,Municipality,023,049,Luzon
San Antonio,Municipality,024,049,Luzon
San Isidro,Municipality,025,049,Luzon
San Leonardo,Municipality,027,049,Luzon
Santa Rosa,Municipality,028,049,Luzon
Santo Domingo,Municipality,029,049,Luzon
Talavera,Municipality,030,049,Luzon
Talugtug,Municipality,031,049,Luzon
Zaragoza,Municipality,032,049,Luzon
Apalit,Municipality,002,054,Luzon
Arayat,Municipality,003,054,Luzon
Bacolor,Municipality,004,054,Luzon
Candaba,Municipality,005,054,Luzon
Floridablanca,Municipality,006,054,Luzon
Guagua,Municipality,007,054,Luzon
Lubao,Municipality,008,054,Luzon
Macabebe,Municipality,010,054,Luzon
Magalang,Municipality,011,054,Luzon
Masantol,Municipality,012,054,Luzon
Mexico,Municipality,013,054,Luzon
Minalin,Municipality,014,054,Luzon
Porac,Municipality,015,054,Luzon
San Luis,Municipality,017,054,Luzon
San Simon,Municipality,018,054,Luzon
Santa Ana,Municipality,019,054,Luzon
Santa Rita,Municipality,020,054,Luzon
Sto. Tomas,Municipality,021,054,Luzon
Sasmuan,Municipality,022,054,Luzon
Anao,Municipality,001,069,Luzon
Bamban,Municipality,002,069,Luzon
Camiling,Municipality,003,069,Luzon
Capas,Municipality,004,069,Luzon
Concepcion,Municipality,005,069,Luzon
Gerona,Municipality,006,069,Luzon
La Paz,Municipality,007,069,Luzon
Mayantoc,Municipality,008,069,Luzon
Moncada,Municipality,009,069,Luzon
Paniqui,Municipality,010,069,Luzon
Pura,Municipality,011,069,Luzon
Ramos,Municipality,012,069,Luzon
San Clemente,Municipality,013,069,Luzon
San Manuel,Municipality,014,069,Luzon
Santa Ignacia,Municipality,015,069,Luzon
Victoria,Municipality,017,069,Luzon
San Jose,Municipality,018,069,Luzon
Botolan,Municipality,001,071,Luzon
Cabangan,Municipality,002,071,Luzon
Candelaria,Municipality,003,071,Luzon
Castillejos,Municipality,004,071,Luzon
Iba ,Municipality,005,071,Luzon
Masinloc,Municipality,006,071,Luzon
Palauig,Municipality,008,071,Luzon
San Antonio,Municipality,009,071,Luzon
San Felipe,Municipality,010,071,Luzon
San Marcelino,Municipality,011,071,Luzon
San Narciso,Municipality,012,071,Luzon
Santa Cruz,Municipality,013,071,Luzon
Subic,Municipality,014,071,Luzon
Baler ,Municipality,001,077,Luzon
Casiguran,Municipality,002,077,Luzon
Dilasag,Municipality,003,077,Luzon
Dinalungan,Municipality,004,077,Luzon
Dingalan,Municipality,005,077,Luzon
Dipaculao,Municipality,006,077,Luzon
Maria Aurora,Municipality,007,077,Luzon
San Luis,Municipality,008,077,Luzon
Agoncillo,Municipality,001,010,Luzon
Alitagtag,Municipality,002,010,Luzon
Balayan,Municipality,003,010,Luzon
Balete,Municipality,004,010,Luzon
Bauan,Municipality,006,010,Luzon
Calatagan,Municipality,008,010,Luzon
Cuenca,Municipality,009,010,Luzon
Ibaan,Municipality,010,010,Luzon
Laurel,Municipality,011,010,Luzon
Lemery,Municipality,012,010,Luzon
Lian,Municipality,013,010,Luzon
Lobo,Municipality,015,010,Luzon
Mabini,Municipality,016,010,Luzon
Malvar,Municipality,017,010,Luzon
Mataasnakahoy,Municipality,018,010,Luzon
Nasugbu,Municipality,019,010,Luzon
Padre Garcia,Municipality,020,010,Luzon
Rosario,Municipality,021,010,Luzon
San Jose,Municipality,022,010,Luzon
San Juan,Municipality,023,010,Luzon
San Luis,Municipality,024,010,Luzon
San Nicolas,Municipality,025,010,Luzon
San Pascual,Municipality,026,010,Luzon
Santa Teresita,Municipality,027,010,Luzon
Taal,Municipality,029,010,Luzon
Talisay,Municipality,030,010,Luzon
Taysan,Municipality,032,010,Luzon
Tingloy,Municipality,033,010,Luzon
Tuy,Municipality,034,010,Luzon
Alfonso,Municipality,001,021,Luzon
Amadeo,Municipality,002,021,Luzon
Carmona,Municipality,004,021,Luzon
General Emilio Aguinaldo,Municipality,007,021,Luzon
Indang,Municipality,010,021,Luzon
Kawit,Municipality,011,021,Luzon
Magallanes,Municipality,012,021,Luzon
Maragondon,Municipality,013,021,Luzon
Mendez,Municipality,014,021,Luzon
Naic,Municipality,015,021,Luzon
Noveleta,Municipality,016,021,Luzon
Rosario,Municipality,017,021,Luzon
Silang,Municipality,018,021,Luzon
Tanza,Municipality,020,021,Luzon
Ternate,Municipality,021,021,Luzon
Gen. Mariano Alvarez,Municipality,023,021,Luzon
Alaminos,Municipality,001,034,Luzon
Bay,Municipality,002,034,Luzon
Calauan,Municipality,006,034,Luzon
Cavinti,Municipality,007,034,Luzon
Famy,Municipality,008,034,Luzon
Kalayaan,Municipality,009,034,Luzon
Liliw,Municipality,010,034,Luzon
Los Baños,Municipality,011,034,Luzon
Luisiana,Municipality,012,034,Luzon
Lumban,Municipality,013,034,Luzon
Mabitac,Municipality,014,034,Luzon
Magdalena,Municipality,015,034,Luzon
Majayjay,Municipality,016,034,Luzon
Nagcarlan,Municipality,017,034,Luzon
Paete,Municipality,018,034,Luzon
Pagsanjan,Municipality,019,034,Luzon
Pakil,Municipality,020,034,Luzon
Pangil,Municipality,021,034,Luzon
Pila,Municipality,022,034,Luzon
Rizal,Municipality,023,034,Luzon
Santa Cruz ,Municipality,026,034,Luzon
Santa Maria,Municipality,027,034,Luzon
Siniloan,Municipality,029,034,Luzon
Victoria,Municipality,030,034,Luzon
Agdangan,Municipality,001,056,Luzon
Alabat,Municipality,002,056,Luzon
Atimonan,Municipality,003,056,Luzon
Buenavista,Municipality,005,056,Luzon
Burdeos,Municipality,006,056,Luzon
Calauag,Municipality,007,056,Luzon
Candelaria,Municipality,008,056,Luzon
Catanauan,Municipality,010,056,Luzon
Dolores,Municipality,015,056,Luzon
General Luna,Municipality,016,056,Luzon
General Nakar,Municipality,017,056,Luzon
Guinayangan,Municipality,018,056,Luzon
Gumaca,Municipality,019,056,Luzon
Infanta,Municipality,020,056,Luzon
Jomalig,Municipality,021,056,Luzon
Lopez,Municipality,022,056,Luzon
Lucban,Municipality,023,056,Luzon
Macalelon,Municipality,025,056,Luzon
Mauban,Municipality,027,056,Luzon
Mulanay,Municipality,028,056,Luzon
Padre Burgos,Municipality,029,056,Luzon
Pagbilao,Municipality,030,056,Luzon
Panukulan,Municipality,031,056,Luzon
Patnanungan,Municipality,032,056,Luzon
Perez,Municipality,033,056,Luzon
Pitogo,Municipality,034,056,Luzon
Plaridel,Municipality,035,056,Luzon
Polillo,Municipality,036,056,Luzon
Quezon,Municipality,037,056,Luzon
Real,Municipality,038,056,Luzon
Sampaloc,Municipality,039,056,Luzon
San Andres,Municipality,040,056,Luzon
San Antonio,Municipality,041,056,Luzon
San Francisco,Municipality,042,056,Luzon
San Narciso,Municipality,044,056,Luzon
Sariaya,Municipality,045,056,Luzon
Tagkawayan,Municipality,046,056,Luzon
Tiaong,Municipality,048,056,Luzon
Unisan,Municipality,049,056,Luzon
Angono,Municipality,001,058,Luzon
Baras,Municipality,003,058,Luzon
Binangonan,Municipality,004,058,Luzon
Cainta,Municipality,005,058,Luzon
Cardona,Municipality,006,058,Luzon
Jala-Jala,Municipality,007,058,Luzon
Rodriguez,Municipality,008,058,Luzon
Morong,Municipality,009,058,Luzon
Pililla,Municipality,010,058,Luzon
San Mateo,Municipality,011,058,Luzon
Tanay,Municipality,012,058,Luzon
Taytay,Municipality,013,058,Luzon
Teresa,Municipality,014,058,Luzon
Boac ,Municipality,001,040,Luzon
Buenavista,Municipality,002,040,Luzon
Gasan,Municipality,003,040,Luzon
Mogpog,Municipality,004,040,Luzon
Santa Cruz,Municipality,005,040,Luzon
Torrijos,Municipality,006,040,Luzon
Abra De Ilog,Municipality,001,051,Luzon
Calintaan,Municipality,002,051,Luzon
Looc,Municipality,003,051,Luzon
Lubang,Municipality,004,051,Luzon
Magsaysay,Municipality,005,051,Luzon
Mamburao ,Municipality,006,051,Luzon
Paluan,Municipality,007,051,Luzon
Rizal,Municipality,008,051,Luzon
Sablayan,Municipality,009,051,Luzon
San Jose,Municipality,010,051,Luzon
Santa Cruz,Municipality,011,051,Luzon
Baco,Municipality,001,052,Luzon
